;Codigo_org;idOrg;Organismo;Codigo_padre;Padre_org;Region;Municipalidad;direccion;telefono;url_organismo;url_orgtransparencia;horario_publico;nombre_encargado;email;num_cuenta;rut;tipo_cuenta;banco;url_sai;fax;Ingresa;obligadorecibir_sai;organismo_autonomo;interopera;tiene_ta;fecha_ta
10;MU112;558;Municipalidad de Iquique;MU000;Municipios de Tarapacá;Región de Tarapacá;IQUIQUE;Serrano N134;56 + 57 + 2514500;http://www.municipioiquique.cl;http://www.iquiquetransparente.cl;Lunes a Viernes 08:30 AM a 13:30 PM;Michael Lobos Alveal;transparencia@municipioiquique.cl;;;;;http://www.iquiquetransparente.cl/solicitud.html;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
11;EP027;1103;ZOFRI S.A.  (ZOFRI);EP000;Empresas y Sociedades;Región de Tarapacá;IQUIQUE;EDIFICIO CONVENCIONES SN  IQUIQUE;(57) 2515100;http://www.zofri.cl;http://www.zofri.cl/index.php/es/zofri-transparente.html;;;;;;;;http://;;No ingresa;SÍ;NO;NO;NO;
12;AO040;56251;SEREMI de Salud  de Tarapacá;AO000;Salud;Región de Tarapacá;IQUIQUE;Esmeralda 475 Iquique;(57) 2404655  (57) 2404651;http://www.seremisaludtarapaca.cl;http://transparencia.redsalud.gov.cl/transparencia/index.php?id=SEREMI1;Lunes a viernes de 09:00 a 16:00 horas;Sandra Toledo;transparencia.seremi@redsalud.gob.cl;;;;;http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=b3a443ddf5f4b7653b27af81328e3fcb;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
13;AO017;871;Servicio de Salud Iquique;AO000;Salud;Región de Tarapacá;IQUIQUE;Aníbal Pinto N 815;56 57 2409532;http://www.saludiquique.cl/;http://transparencia.redsalud.gob.cl/transparencia/index.php?id=SSIQUIQUE;Lunes a Jueves de 8:30 a 17:30 y Viernes de 8:30 a 16:00 hrs.;Mireya Soto Fuentes;mireyasoto.f@redsalud.gob.cl;;;Cuenta Corriente;Bancoestado;http://transparencia.redsalud.gob.cl/transparencia/public/ssiquique/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/02/23
14;AK010;1025;Corporación de Asistencia Judicial Regiones Tarapacá y Antofagasta (CAJTA);AK000;Justicia;Región de Tarapacá;IQUIQUE;Calle Plaza Prat # 570;(57) 2532162  2532160;http://www.cajta.cl;http://www.cajta.cl/transley20285/index.html;Lunes a viernes de 08:30 a 16:30 horas.;Gerardo Salinas Muñoz;transparencia@cajta.cl;;;;;http://cajta.transparencia.cl/tramites/disponibles;;Ingresa;SÍ;NO;NO;SÍ;2018/07/17
15;MA013;329312;Asociación de Municipios Rurales Regiones de Tarapacá y AricaParinacota;ASOC;Asociación Municipal;Región de Tarapacá;IQUIQUE;Bulnes 571 Iquique;;http://www.amrurales.cl/;http://;;;seasociacionmmrr@gmail.com;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;2019/08/14
16;CF003;329550;CFT de la Región del Tarapacá;CF000;Centro de Formación Técnica;Región de Tarapacá;ALTO HOSPICIO;Sotomayor 575 oficina 409;57 2504509;http://www.cftestataltarapaca.cl;http://;9:30  13:00 Horas;;transparencia@cftestataltarapaca.cl;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;2019/03/07
17;MA057;329302;Asociación de Municipalidades de la Provincia de Iquique Para La Gestión Ambiental y de Residuos;ASOC;Asociación Municipal;Región de Tarapacá;ALTO HOSPICIO;;;http://;http://;;;;;;;;http://;;No ingresa;SÍ;NO;NO;NO;
18;MU005;465;Municipalidad de Alto Hospicio;MU000;Municipios de Tarapacá;Región de Tarapacá;ALTO HOSPICIO;Av. Los Alamos 3101 Alto Hospicio;(057) 2 583 000;http://maho.cl/web/;http://www.maho.cl/transparencia/transparencia2016/;08:00 a 13:00 Horas de Lunes a Viernes;José Valenzuela Díaz;web@maho.cl;;;;;http://maho.cl/pdf/Formulario%20de%20solicitud%20de%20informacion.pdf;(057) 2 583 008;Ingresa;SÍ;NO;NO;SÍ;
19;MU226;655;Municipalidad de Pozo Almonte;MU000;Municipios de Tarapacá;Región de Tarapacá;POZO ALMONTE;Balmaceda Nº 276;(57) 2407200  2407273  2407220  2407221;http://www.impa.gob.cl/;http://www.impatransparente.cl/;8:30 a  14:00;ROMMIE CAMILO PAICHO;transparenciaimpa@gmail.com;;;;;http://www.impatransparente.cl/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
20;AB025;779;Gobernación de Tamarugal;AB000;Interior y Seguridad Pública;Región de Tarapacá;POZO ALMONTE;Libertad 827;56 57 248 270;http://www.gobernaciontamarugal.gov.cl/;http://www.interior.gob.cl/transparenciaactiva/sgi/125/index.html;Lunes a Jueves 8:30 a 17:30 Viernes 8:30 a 16:30;Tamara Savé Bustos;tsave@interior.gov.cl;;;;;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;;Ingresa;SÍ;NO;SÍ;NO;
21;CM034;58860;Corporación Municipal de Pozo Almonte;CM000;Corporaciones Municipales;Región de Tarapacá;POZO ALMONTE;Calle Cala Cala #112;;http://www.cormudespa.cl/;http://www.cormudespa.cl/#;;;transparencia@cormudespa.cl;;;;;http://miguelbustos.wixsite.com/cormudespa/formulario-solicitud-transparencia;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
22;MU025;482;Municipalidad de Camiña;MU000;Municipios de Tarapacá;Región de Tarapacá;CAMIÑA;Arturo Prat sn Camiña  Casilla 487 Iquique;991617196;http://www.xn--municipalidaddecamia-m7b.cl/;http://www.xn--municipalidaddecamia-m7b.cl/?page_id=5;8:30 a 17:20 hrs. de lunes a viernes;;webmaster@municipalidaddecamina.cl;;;;;http://www.xn--municipalidaddecamia-m7b.cl/?page_id=546;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
23;MU056;508;Municipalidad de Colchane;MU000;Municipios de Tarapacá;Región de Tarapacá;COLCHANE;Avenida  Teniente Gonzalez SN;(57) 2 218 774;http://www.imcolchane.cl/;http://www.imcolchane.cl/transparencia.html;Lunes a Jueves de 08:30 horas a 18:00 horas y el dia Viernes de 08:00 horas a 14:00.;Eyson Mamani Moscoso;contacto@imcolchane.cl;;;;;http://www.municipalidadecolchane.cl/transparencia-2/formulario-solicitud-de-acceso-a-informacion-publica-ley-20-285/;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
24;MU107;553;Municipalidad de Huara;MU000;Municipios de Tarapacá;Región de Tarapacá;HUARA;V. Mackenna sn;(57) 463200;http://imhuara.cl/;http://www.municipiostransparentes.cl/huara;Lu a Vi de 8:30 a 17:40;Carlos Bustos;sec.alcaldia.imh@gmail.com;;;;;http://www.municipiostransparentes.cl/instituciones/ver/38/13;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
25;MU217;647;Municipalidad de Pica;MU000;Municipios de Tarapacá;Región de Tarapacá;PICA;Plaza de Armas Nº20;572741310;http://www.municipalidadpica.cl;http://www.municipalidadpica.cl/transparencia/;8.30 a 14.00 horas (presencial);Carlos Oryan;transparencia@municipalidadpica.cl;;;Cuenta Corriente;Bancoestado;http://www.municipalidadpica.cl/smft/index.php;;Ingresa;SÍ;NO;NO;SÍ;2019/12/19
26;AO051;56351;SEREMI de Salud de Los Lagos;AO000;Salud;Región de Los Lagos;PUERTO MONTT;Avda. Décima Región N 480 3er Piso Edificio Anexo Intendencia Regional;(65) 2 326100;http://www.seremisaludloslagos.cl/;http://transparencia.redsalud.gov.cl/transparencia/?id=SEREMI10;Lunes a Viernes desde las 8:30 hrs a las 14:00 hrs.;Juan Espina A.;transparencia.loslagos@redsalud.gov.cl;;;;;http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=f5829d217bf1329b498a5bade10555b9;(65) 2 326149;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
27;MU233;662;Municipalidad de Puerto Montt;MU000;Municipios de Los Lagos;Región de Los Lagos;PUERTO MONTT;Calle Vial N474 Sector Centrico;(65) 261700  261698  261650;http://www.puertomonttchile.cl;http://transparencia.puertomonttchile.cl/;8:30 a 13:00 y 14:30 a 17:00;;yenny.esparza@puertomontt.cl;;;;;http://transparencia.puertomonttchile.cl/index.php?option=com_content&view=article&id=338&Itemid=360;;Ingresa;SÍ;NO;NO;SÍ;2019/04/29
28;AB087;970;Gobierno Regional de Los Lagos (Gore Los Lagos);AB000;Interior y Seguridad Pública;Región de Los Lagos;PUERTO MONTT;Avda. Décima Región N480 4to. Piso Edificio Intendencia Puerto Montt;56652283135;http://www.goreloslagos.gob.cl;http://transparencia.goreloslagos.cl/web/;Lunes a Viernes de 9:00 Hrs a 12:45 Hrs.  14:30 Hrs. A 16:00 Hrs;ISOLDA LUCO CANALES;transparencia@goreloslagos.cl;;;;;http://goreloslagos.transparencia.cl/tramites/disponibles;;Ingresa;SÍ;NO;NO;SÍ;
29;AO037;891;Servicio de Salud del Reloncaví;AO000;Salud;Región de Los Lagos;PUERTO MONTT;Egaña 85;56 2 328150;http://www.ssdr.gob.cl/;http://transparencia.redsalud.gob.cl/transparencia/index.php?id=SS DEL RELONCAVI;Lunes a jueves de 8 a 13 y de 14 a 17 Viernes de 8 a 13 y de 14 a 16.;Macarena Gallegos;imillan@ssdr.gob.cl;;;;;http://transparencia.redsalud.gob.cl/transparencia/public/ssreloncavi/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/01/15
30;AP012;951;SERVIU Región de Los Lagos;AP000;Vivienda y Urbanismo;Región de Los Lagos;PUERTO MONTT;Urmeneta 680;56 65 280 127;http://serviu10.minvu.cl/;http://serviu10.minvu.cl/transparencia/index.html;Lunes a Viernes de 08:30 hrs. a 13:00 hrs.;Alejandro Nilo Zucco;anilo@minvu.cl;;;;;http://solicitudinformacion.minvu.cl/;;Ingresa;SÍ;NO;SÍ;SÍ;2017/12/06
31;EP018;1111;Empresa Portuaria Puerto Montt;EP000;Empresas y Sociedades;Región de Los Lagos;PUERTO MONTT;ANGELMO 1673  PUERTO MONTT;(65) 252247;http://www.empormontt.cl;http://www.empormontt.cl/index.php?q=es/node/101;;;;;;;;http://;;No ingresa;NO;NO;NO;NO;
32;AP015;954;SERVIU Región de Los Ríos;AP000;Vivienda y Urbanismo;Región de Los Lagos;PUERTO MONTT;Avenida Alemania 799;56 63 283 505;http://www.serviulosrios.cl/;http://www.serviulosrios.gob.cl/transparencia/index.html;Lunes a Viernes de 09:00 a 13:00 hrs.;Roberto Fritz  Molina;rfritz@minvu.cl;;;Cuenta Corriente;Bancoestado;http://solicitudinformacion.minvu.cl/;;Ingresa;SÍ;NO;SÍ;SÍ;2018/10/29
33;AB058;812;Gobernación de Llanquihue;AB000;Interior y Seguridad Pública;Región de Los Lagos;PUERTO MONTT;San Martín 80 2 Piso;0652299090;http://www.gobernacionllanquihue.gov.cl/;http://www.interior.gob.cl/transparenciaactiva/sgi/69/index.html;Lunes a Viernes desde las 8:30 Hrs a 13 hrs. Mañana y Lunes a Viernes desde las 14:30 a las 16 hrs;Nury Quidel Chavez;nquidel@interior.gov.cl;;;;;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;;Ingresa;SÍ;NO;SÍ;NO;
34;AB013;767;Intendencia de Los Lagos;AB000;Interior y Seguridad Pública;Región de Los Lagos;PUERTO MONTT;Décima Región 480 3er Piso. Puerto Montt;56 63 280 725  2280716;http://www.intendencialoslagos.gov.cl/;http://www.interior.gob.cl/transparenciaactiva/sgi/34/index.html;Lunes a Viernes 09:00 a 17:30 hrs;Paula Contreras Oyarzún;pcontreraso@interior.gov.cl;;;;;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;;Ingresa;SÍ;NO;SÍ;NO;
35;AO090;921;Hospital de Puerto Montt;AO000;Salud;Región de Los Lagos;PUERTO MONTT;Los Aromos N 65;65  2  362360;http://www.hospitalpuertomontt.cl/;http://transparencia.redsalud.gov.cl/transparencia/index.php?id=AO090;Lunes a Jueves: 08:00 am a 17:00 pm Viernes :08:00 am a 16:00 pm;Lilian Paredes Aro;lparedesqssdr.gob.cl;;;;;http://transparencia.redsalud.gov.cl/transparencia/public/AO090/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/03/02
36;MU020;478;Municipalidad de Calbuco;MU000;Municipios de Los Lagos;Región de Los Lagos;CALBUCO;Federico Errázuriz Nº 210;(65) 460701 (65)460712;http://www.municipalidadcalbuco.cl;http://transparencia.municipalidadcalbuco.cl/;08:30 a 14:00 hrs.;Jorge Agero Muñoz;transparencia@municipalidadcalbuco.cl;;;;;http://transparencia.municipalidadcalbuco.cl/;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
37;MU049;502;Municipalidad de Cochamó;MU000;Municipios de Los Lagos;Región de Los Lagos;COCHAMO;Santiago Bueras sn;(65) 2562551;http://www.municochamo.cl;http://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=MU049;Lunes a Viernes desde 8:15 a 14:00;Omar Perez Ruiz;transparencia@municochamo.cl;;;;;http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=f2e913fadb9e77a54534dea7416bdc97;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
38;MU093;540;Municipalidad de Fresia;MU000;Municipios de Los Lagos;Región de Los Lagos;FRESIA;San Francisco Nº 124;(65) 2772700;http://www.munifresia.cl;http://www.munifresia.cl/transparencia/;LunesJueves 08:00 a 17:00 Viernes 08:00 a 16:00;Juan L. Raimilla Solís;transparencia@munifresia.cl;;;;;http://munifresia.cl/transparencia/SolTranspaPerNatural.html;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
39;MU094;541;Municipalidad de Frutillar;MU000;Municipios de Los Lagos;Región de Los Lagos;FRUTILLAR;Av. Bernardo Phillipi #753;(65) 421261  421685  421861  422370;http://www.munifrutillar.cl/;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=MU094;Lunes a viernes de 8:30 hrs. A 17:30 hrs;Jonathan Mansilla Venegas;informatica.munifrutillar@gmail.com;;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=9d05de710dc27eccf7e8b494521cb4d4;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
40;MU155;594;Municipalidad de Los Muermos;MU000;Municipios de Los Lagos;Región de Los Lagos;LOS MUERMOS;Antonio Varas Nº 498;65 2773919;http://www.muermos.cl;http://www.muermos.cl/transparencia2.0/;LUN A VIERNES 8:1513:00 14:0016:00;TATIANA MOYA LEIVA;TRANSPARENCIA@MUERMOS.Cl;;;;;http://www.muermos.cl/transparencia2.0/index.php/form;;Ingresa;SÍ;NO;NO;SÍ;
41;CF005;329850;CFT de la Región de los Lagos;CF000;Centro de Formación Técnica;Región de Los Lagos;LLANQUIHUE;Vicente Perez Rosales 529 piso 2 Llanquihue;652332559;http://www.aprendizajeeslibertad.cl;http://;Lunes a Viernes 09:00 hrs a 14:00 hrs.;Gonzalo Serra;transparencia@cft-ell.cl;;;;;http://;;Ingresa;SÍ;NO;NO;SÍ;2019/06/17
42;MU142;582;Municipalidad de Llanquihue;MU000;Municipios de Los Lagos;Región de Los Lagos;LLANQUIHUE;Calle Ohiggins Nº 329 Llanquihue;(65) 24 4500;http://www.llanquihue.cl;https://www.portaltransparencia.cl/PortalPdT/pdtta/-/ta/MU142;Lunes a Viernes de 09:00 a 13:00 y de 15:00 a 17:00horas.;Pablo Flores Merino;transparencia@llanquihue.cl;;;;;http://www.munillanquihue.cl/;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
43;MU170;606;Municipalidad de Maullín;MU000;Municipios de Los Lagos;Región de Los Lagos;MAULLÍN;OHiggins #641 Maullín.;65 2 482581;http://www.munimaullin.cl/portada/;http://www.munimaullin.cl/portada/index.php?option=com_content&view=category&layout=blog&id=38&Itemid=53;Lunes a Jueves 8:30  17:30   Viernes 8:30  16:30;;transparencia@munimaullin.cl;;;;;http://www.munimaullin.cl/portada/index.php?option=com_content&view=article&id=1034&Itemid=53;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
44;MU236;665;Municipalidad de Puerto Varas;MU000;Municipios de Los Lagos;Región de Los Lagos;PUERTO VARAS;San Francisco Nº 413 casilla 117;(65) 361100  361234;http://www.ptovaras.cl;http://www.ptovaras.cl/web2/index.php?pag=transparencia&destino=4;8:30 a 14:00 y 15:00 a 16:00 hrs.;Jessica Kortmann Ralil;transparencia@ptovaras.cl;;;;;http://www.ptovaras.cl/web2/index.php?pag=trans_solicitud&destino=3;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
45;MA025;328000;Asociación Municipalidades Provincia de Llanquihue Para Manejo Sustentable de Residuos y Gestión Ambiental;ASOC;Asociación Municipal;Región de Los Lagos;PUERTO VARAS;Ruta 5 Sur Km. 1012 Sector El Empalme La Laja;652480047;http://www.asociacionllanquihue.cl;http://;Lunes a Viernes 09:00  13:00 hrs. y 15:00  18:00 hrs.;;contacto@asociacionllanquihue.cl;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;
46;MA017;329306;Asociación de Municipalidades Desarrollo Apicultura Turismo y Medio Ambiente Zona de Amortiguación de la Región de Los Lagos;ASOC;Asociación Municipal;Región de Los Lagos;PUERTO VARAS;San Francisco 413;951088632;http://;http://;;;jjolavarria@yahoo.es;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;2030/01/17
47;AB059;813;Gobernación de Chiloé;AB000;Interior y Seguridad Pública;Región de Los Lagos;CASTRO;Avda. Libertador B. OHiggins SN 2 Piso;652635151  652532121;http://www.gobernacionchiloe.gov.cl/;http://www.interior.gob.cl/transparenciaactiva/sgi/72/index.html;Lunes a jueves de 08:30 a 13:00 y de 15:00 a 17:30 horas Viernes de 08:30 a 13:00 y de 15:00 a 16:30 horas;Daniela Paz Vásquez Ojeda;dvasquez@interior.gov.cl;;;;;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;;Ingresa;SÍ;NO;SÍ;NO;
48;MU031;486;Municipalidad de Castro;MU000;Municipios de Los Lagos;Región de Los Lagos;CASTRO;Blanco Nº 273;(65) 2538000;http://www.municastro.cl;http://www.municastro.cl/transparencia/;Lunes a Viernes 08:30 a 13:00;Luis Felipe Calcina Álvarez;transparencia@castromunicipio.cl;;;;;http://www.municastro.cl/transparencia/;;Ingresa;SÍ;NO;NO;SÍ;
49;AO035;889;Servicio de Salud de Chiloé;AO000;Salud;Región de Los Lagos;CASTRO;OHiggins N504  Castro  Chiloé;652327926;http://www.saludchiloe.cl;http://transparencia.redsalud.gov.cl/transparencia/index.php?id=SSCHILOE;08:30 a 17:00;Jessica Coronado Gallardo;jessicam.coronado@redsalud.gov.cl;;;;;http://transparencia.redsalud.gov.cl/transparencia/public/sschiloe/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/02/14
50;AO061;900;Hospital Dr. Augusto Riffart de Castro;AO000;Salud;Región de Los Lagos;CASTRO;Freire 852;56 65 650 494;http://www.hospitalcastro.gov.cl/;http://webhosting.redsalud.gov.cl/transparencia/index.php?id=AO061;Lunes a jueves de 8:30 hrs a 17:30 hrs  Viernes 8:30 a 16:30 hrs;CAROLA ANDRADE;transparencia@hospitalcastro.gob.cl;;;;;http://webhosting.redsalud.gov.cl/transparencia/public/AO061/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/02/14
51;CM011;58709;Corporación Municipal de Castro;CM000;Corporaciones Municipales;Región de Los Lagos;CASTRO;Libertador Bernardo OHiggins #557OHiggins Nº 557 Castro Chiloé;56652537500;http://www.corpocas.cl;http://www.corpocas.cl;Lunes a Viernes 08:30 a 13:00 y 14:30 a 18:00 hrs;;transparencia@corpocas.cl;;;;;http://www.corpocas.cl/new/t_solicitud+transparencia.php;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
52;CM024;58851;Corporación Municipal de Ancud;CM000;Corporaciones Municipales;Región de Los Lagos;ANCUD;Yerbas Buenas 915 Ancud.;0652622426;http://www.corporacionancud.cl/;http://www.corporacionancud.cl/transparencia/;Lunes a jueves de 08:00 a 13:00 y de 14:00 a 18:00 hrs. Viernes de 08:00 a 13:00 y de 14:00 a 17:00 hrs.;Juan Andrade Peñailillo;transparencia@corporacionancud.cl;;;;;http://www.corporacionancud.cl/transparencia/pasiva.html;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
53;MU006;466;Municipalidad de Ancud;MU000;Municipios de Los Lagos;Región de Los Lagos;ANCUD;Blanco Encalada Nº 660;(65) 2487600;http://www.muniancud.cl;http://www.muniancud.cl/transparencia/municipalidad;Lunes a Viernes de 08:00 a 13:00 hrs;Ricardo Wagner Basili;transparencia@muniancud.cl;;;;;http://www.muniancud.cl/inicio/transparencia-pasiva;;Ingresa;SÍ;NO;NO;NO;
54;MA032;328350;Asociación de Municipios de Desarrollo Intercomunal de Chiloé;ASOC;Asociación Municipal;Región de Los Lagos;ANCUD;Blanco Encalada 660;;http://;http://;;;transparenciaamudich@gmail.com;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;
55;CM020;58750;Corporación de Educación Salud y Atención de Menores Chonchi Chiloé;CM000;Corporaciones Municipales;Región de Los Lagos;CHONCHI;Roberto Andrade #210;(65) 2672400;http://www.corporacionchonchi.cl;http://www.transparencia.corporacionchonchi.cl/;Horario 8:30  13:30 horas;;transparencia@corporacionchonchi.cl;;;;;http://transparencia.corporacionchonchi.cl/?p=320;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
56;MU046;499;Municipalidad de Chonchi;MU000;Municipios de Los Lagos;Región de Los Lagos;CHONCHI;Pedro Montt Nº 254;(65) 652 671 255  652 671 276;http://www.municipalidadchonchi.cl;http://www.municipalidadchonchi.cl/transparencia.chonchi/;LUNES A JUEVES: 8:30 A 17:30  VIERNES : 8:30 A 16:30;;transparencia@municipalidadchonchi.cl;;;;;http://www.municipalidadchonchi.cl/pasiva/;;Ingresa;SÍ;NO;NO;SÍ;2019/06/06
57;MU074;523;Municipalidad de Curaco de Vélez;MU000;Municipios de Los Lagos;Región de Los Lagos;CURACO DE VÉLEZ;Gabriela Mistral Nº 10;(65) 667703  667706  667725;http://www.curacodevelez.cl;http://www.curacodevelez.cl/tactiva.cdevelez/;;;;;;;;http://www.curacodevelez.cl/pasiva.cdevelez/index.php?action=solicitud_informacion;;No ingresa;SÍ;NO;NO;SÍ;
