25;CFT de la Región de la Araucanía;Municipalidad de Angol;Municipalidad de San Juan de la Costa
26;CFT de la Región de los Ríos;Municipalidad de Arauco;Municipalidad de San Miguel
27;CFT de la Región del Maule;Municipalidad de Aysen;Municipalidad de San Nicolás
28;CFT de la Región del Tarapacá;Municipalidad de Buin;Municipalidad de San Pedro
29;Caja de Previsión de la Defensa Nacional (CAPREDENA);Municipalidad de Cabildo;Municipalidad de San Vicente de Tagua Tagua
30;Central de Abastecimiento del Sistema Nacional de Servicios de Salud (CENABAST);Municipalidad de Cabo de Hornos y Antártica;Municipalidad de Santa Juana
31;Centro de Referencia de Salud de Maipú (CRSM);Municipalidad de Calbuco;Municipalidad de Santiago
32;Centro de Referencia de Salud de Peñalolén Cordillera Oriente (CRSORIENTE);Municipalidad de Caldera;Municipalidad de Sierra Gorda
33;Comisión Chilena de Energía Nuclear (CCHEN);Municipalidad de Calera de Tango;Municipalidad de Talagante
34;Comisión Chilena del Cobre (COCHILCO);Municipalidad de Calle Larga;Municipalidad de Talca
35;Comisión Nacional de Acreditación (CNA);Municipalidad de Camarones;Municipalidad de Taltal
36;Comisión Nacional de Energía (CNE);Municipalidad de Canela;Municipalidad de Teodoro Schmidt
37;Comisión Nacional de Investigación Científica y Tecnológica (CONICYT);Municipalidad de Cartagena;Municipalidad de Tiltil
38;Comisión Nacional de Riego (CNR);Municipalidad de Casablanca;Municipalidad de Tirúa
39;Comisión del Sistema Nacional de Certificación de Competencias Laborales (CHILEVALORA);Municipalidad de Catemu;Municipalidad de Tocopilla
40;Comisión para el Mercado Financiero (CMF  ex SVS);Municipalidad de Cauquenes;Municipalidad de Toltén
41;Consejo Fiscal Autónomo;Municipalidad de Cañete;Municipalidad de Tome
42;Consejo Nacional de Educación (CNED);Municipalidad de Cerro Navia;Municipalidad de Torres del Paine
43;Consejo Nacional de Televisión (CNTV);Municipalidad de Chañaral;Municipalidad de Tortel
44;Consejo de Defensa del Estado (CDE);Municipalidad de Chiguayante;Municipalidad de Tucapel
45;Consejo de Rectores;Municipalidad de Chile Chico;Municipalidad de Valparaíso
46;Consejo para la Transparencia (CPLT);Municipalidad de Chillán;Municipalidad de Vilcún
47;Corporación Municipal Cultural y Patrimonial de San Bernardo;Municipalidad de Chimbarongo;Municipalidad de Villa Alegre
48;Corporación Municipal de Buin;Municipalidad de Cholchol;Municipalidad de Villa Alemana
49;Corporación Municipal de Castro;Municipalidad de Chépica;Municipalidad de Yerbas Buenas
50;Corporación Municipal de Cerro Navia;Municipalidad de Cisnes;Municipalidad de Yumbel
51;Corporación Municipal de Colina;Municipalidad de Cochrane;Municipalidad de Yungay
52;Corporación Municipal de Curaco De Velez;Municipalidad de Codegua;Oficinas de Estudios y Políticas Agrarias (ODEPA)
53;Corporación Municipal de Desarrollo Social de Antofagasta (CMDS);Municipalidad de Coelemu;Parque Metropolitano de Santiago
54;Corporación Municipal de Desarrollo Social de Calama (COMDES);Municipalidad de Coinco;Presidencia de la República
55;Corporación Municipal de Desarrollo Social de Til Til;Municipalidad de Colbún;SEREMI de Salud  Metropolitano de Santiago
56;Corporación Municipal de Desarrollo Social de Ñuñoa;Municipalidad de Colina;SEREMI de Salud  de Antofagasta
57;Corporación Municipal de Educación y Servicios Ramón Freire Dalcahue;Municipalidad de Collipulli;SEREMI de Salud  de Atacama
58;Corporación Municipal de La Reina;Municipalidad de Coltauco;SEREMI de Salud  de Tarapacá
59;Corporación Municipal de Maria Pinto;Municipalidad de Combarbalá;SEREMI de Salud  de Valparaíso
60;Corporación Municipal de Melipilla;Municipalidad de Concepción;SEREMI de Salud de Aysén
61;Corporación Municipal de Panguipulli;Municipalidad de Conchalí;SEREMI de Salud de La Araucanía
62;Corporación Municipal de Pozo Almonte;Municipalidad de Constitución;SEREMI de Salud de Los Ríos
63;Corporación Municipal de Puente Alto;Municipalidad de Coronel;SEREMI de Salud de OHiggins
64;Corporación Municipal de Puqueldón;Municipalidad de Coyhaique;SEREMI de Salud del Maule
65;Corporación Municipal de Queilen;Municipalidad de Cunco;SEREMI de Salud del Ñuble
66;Corporación Municipal de Quellón;Municipalidad de Curacautín;SERVIU Región Metropolitana de Santiago
67;Corporación Municipal de Quilpué;Municipalidad de Dalcahue;SERVIU Región de Antofagasta
68;Corporación Municipal de Rancagua (CORMUN);Municipalidad de Diego de Almagro;SERVIU Región de Aysén del General Carlos Ibáñez del Campo
69;Corporación Municipal de San Bernardo;Municipalidad de Doñihue;SERVIU Región de Los Lagos
70;Corporación Municipal de San Joaquin;Municipalidad de El Bosque;SERVIU Región de Magallanes y la Antártica Chilena
71;Corporación Municipal de San Vicente;Municipalidad de El Monte;SERVIU Región de Valparaíso
72;Corporación Municipal de Talagante;Municipalidad de El Quisco;SERVIU Región de la Araucanía
73;Corporación Municipal de Valparaíso;Municipalidad de Empedrado;SERVIU Región del Libertador Bernardo OHiggins
74;Corporación Municipal para el Desarrollo Social de Villa Alemana;Municipalidad de Freirina;SERVIU Región del Maule
75;Corporación de Asistencia Judicial Regiones Tarapacá y Antofagasta (CAJTA);Municipalidad de Frutillar;Servicio Agrícola y Ganadero (SAG)
76;Corporación de Asistencia Judicial Región Bío Bío (CAJBIOBIO);Municipalidad de Futaleufú;Servicio Local de Educación Pública Andalién Sur
77;Corporación de Asistencia Judicial Región Valparaíso (CAJVAL);Municipalidad de Futrono;Servicio Local de Educación Pública Chinchorro
78;Corporación de Fomento Para La Producción (CORFO);Municipalidad de Galvarino;Servicio Local de Educación Pública Costa Araucanía
79;Defensoría Penal Pública (DPP);Municipalidad de General Lagos;Servicio Local de Educación Pública Gabriela Mistral
80;Dirección General de Aeronáutica Civil (DGAC);Municipalidad de Graneros;Servicio Local de Educación Pública Huasco
81;Dirección General de Aguas (DGA);Municipalidad de Hijuelas;Servicio Local de Educación Pública de Barrancas
82;Dirección General de Concesiones de Obras Públicas (DGC);Municipalidad de Hualaihué;Servicio Médico Legal (SML)
83;Dirección General de Crédito Prendario (DICREP);Municipalidad de Hualpén;Servicio Nacional de Aduanas
84;Dirección General de Obras Públicas (DGOP);Municipalidad de Hualqui;Servicio Nacional de Capacitación y Empleo (SENCE)
85;Dirección Nacional del Servicio Civil;Municipalidad de Isla de Maipo;Servicio Nacional de Geología y Minería (SERNAGEOMIN)
86;Dirección de Aeropuertos (DAP);Municipalidad de Isla de Pascua (Rapa Nui);Servicio Nacional de Menores (SENAME)
87;Dirección de Arquitectura (DARQ);Municipalidad de Juan Fernández;Servicio Nacional de Pesca y Acuicultura (SERNAPESCA)
88;Dirección de Compras y Contratación Pública (CHILECOMPRA);Municipalidad de La Cisterna;Servicio Nacional de la Mujer y la Equidad de Género (SERNAMEG)
89;Dirección de Contabilidad y Finanzas (DCYF);Municipalidad de La Estrella;Servicio Nacional del Consumidor (SERNAC)
90;Dirección de Educación Pública;Municipalidad de La Granja;Servicio Nacional del Patrimonio Cultural
91;Dirección de Obras Hidráulicas (DOH);Municipalidad de La Ligua;Servicio de Cooperación Técnica (SERCOTEC)
92;Dirección de Obras Portuarias (DOP);Municipalidad de La Pintana;Servicio de Evaluación Ambiental (SEA)
93;Dirección de Planeamiento (DIRPLAN);Municipalidad de La Unión;Servicio de Registro Civil e Identificación
94;Dirección de Presupuestos (DIPRES);Municipalidad de Lago Ranco;Servicio de Salud Aconcagua
95;Dirección de Previsión de Carabineros de Chile (DIPRECA);Municipalidad de Lago Verde;Servicio de Salud Antofagasta
96;Dirección de Vialidad (VIALIDAD);Municipalidad de Laguna Blanca;Servicio de Salud Araucanía Norte
97;Dirección del Trabajo (DT);Municipalidad de Laja;Servicio de Salud Arica
98;Ejército de Chile;Municipalidad de Lampa;Servicio de Salud Aysén
99;Estado Mayor Conjunto (EMCO);Municipalidad de Lanco;Servicio de Salud Bíobío
100;Fiscalía MOP;Municipalidad de Las Cabras;Servicio de Salud Coquimbo
101;Fiscalía Nacional Económica (FNE);Municipalidad de Lautaro;Servicio de Salud Iquique
102;Fondo Nacional de Salud (FONASA);Municipalidad de Lebu;Servicio de Salud Magallanes
103;Fondo de Solidaridad e Inversión Social (FOSIS);Municipalidad de Limache;Servicio de Salud Maule
104;Fuerza Aérea de Chile (Incluye al Servicio Aerofotogramétrico);Municipalidad de Lo Espejo;Servicio de Salud Metropolitano Central
105;Fundación Artesanías de Chile;Municipalidad de Lolol;Servicio de Salud Metropolitano Norte
106;Fundación Cultural Providencia;Municipalidad de Lonquimay;Servicio de Salud Metropolitano Occidente
107;Fundación Tiempos Nuevos (MIM);Municipalidad de Los Alamos;Servicio de Salud Metropolitano Sur
108;Gobierno Regional Metropolitano de Santiago  (GORE Metropolitano);Municipalidad de Los Vilos;Servicio de Salud OHiggins
109;Gobierno Regional de Arica y Parinacota;Municipalidad de Lumaco;Servicio de Salud Osorno
110;Gobierno Regional de Atacama;Municipalidad de Macul;Servicio de Salud Talcahuano
111;Gobierno Regional de Aysén (GORE Aysén);Municipalidad de Maipú;Servicio de Salud Valdivia
112;Gobierno Regional de Coquimbo;Municipalidad de Mariquina;Servicio de Salud Valparaíso  San Antonio
113;Gobierno Regional de Magallanes y de la Antártica Chilena (GORE Magallanes);Municipalidad de María Pinto;Servicio de Salud Viña del Mar  Quillota
114;Gobierno Regional de OHiggins (Gore OHiggins);Municipalidad de Mejillones;Servicio de Salud del Reloncaví
115;Gobierno Regional de Tarapacá;Municipalidad de Mostazal;Subsecretaria de Derechos Humanos
116;Gobierno Regional de Valparaíso  ( GORE Valparaíso);Municipalidad de Nacimiento;Subsecretaria de Evaluación Social
117;Gobierno Regional de Ñuble;Municipalidad de Navidad;Subsecretaría General de Gobierno (SEGEGOB)
118;Gobierno Regional del Bío Bío (Gore Bío Bío);Municipalidad de Ollague;Subsecretaría General de La Presidencia (SEGPRES)
119;Gobierno Regional del Maule (Gore Maule);Municipalidad de Osorno;Subsecretaría de Bienes Nacionales
120;Hospital Base de Valdivia;Municipalidad de Ovalle;Subsecretaría de Ciencia Tecnología Conocimiento e Innovación
121;Hospital Carlos Van Buren;Municipalidad de Padre Hurtado;Subsecretaría de Defensa
122;Hospital Claudio Vicuña de San Antonio;Municipalidad de Paihuano;Subsecretaría de Desarrollo Regional (SUBDERE)
123;Hospital Clínico Magallanes Dr Lautaro Navarro Aravia;Municipalidad de Paillaco;Subsecretaría de Economía (MINECON)
124;Hospital Dr. Augusto Riffart de Castro;Municipalidad de Palmilla;Subsecretaría de Educación (MINEDUC)
125;Hospital Dr. Hernán Henríquez Aravena de Temuco;Municipalidad de Panguipulli;Subsecretaría de Educación Parvularia
126;Hospital Eduardo Pereira de Valparaíso;Municipalidad de Papudo;Subsecretaría de Educación Superior
127;Hospital El Carmen Dr. Luis Valentín Ferrada;Municipalidad de Paredones;Subsecretaría de Energía
128;Hospital Ernesto Torres de Iquique;Municipalidad de Parral;Subsecretaría de Hacienda
129;Hospital Exequiel González;Municipalidad de Pedro Aguirre Cerda;Subsecretaría de Justicia
130;Hospital Félix Bulnes;Municipalidad de Pelluhue;Subsecretaría de Minería
131;Hospital Guillermo Grant Benavente de Concepción;Municipalidad de Pemuco;Subsecretaría de Obras Públicas (MOP)
132;Hospital Herminda Martin;Municipalidad de Pencahue;Subsecretaría de Pesca y Acuicultura
133;Hospital Juan Noé de Arica;Municipalidad de Penco;Subsecretaría de Prevención del Delito
134;Hospital Leonardo Guzmán de Antofagasta;Municipalidad de Peralillo;Subsecretaría de Previsión Social (SPS)
135;Hospital Luis Calvo Mackenna;Municipalidad de Peumo;Subsecretaría de Redes Asistenciales
136;Hospital Luis Tisné;Municipalidad de Peñaflor;Subsecretaría de Salud Pública (MINSAL)
137;Hospital Padre Hurtado;Municipalidad de Peñalolén;Subsecretaría de Servicios Sociales
138;Hospital Regional Coyhaique;Municipalidad de Pica;Subsecretaría de Telecomunicaciones (SUBTEL)
139;Hospital Regional de Rancagua;Municipalidad de Pichilemu;Subsecretaría de Turismo
140;Hospital Regional de Talca;Municipalidad de Pinto;Subsecretaría de la Mujer y la Equidad de Género
141;Hospital San José de Coronel;Municipalidad de Pirque;Subsecretaría de las Culturas y las Artes
142;Hospital San Juan de Dios;Municipalidad de Pitrufquén;Subsecretaría del Patrimonio Cultural
143;Hospital San Juan de Dios de Los Andes;Municipalidad de Placilla;Subsecretaría del Trabajo (MINTRAB)
144;Hospital San Juan de Dios de San Fernando;Municipalidad de Portezuelo;Subsecretaría para las Fuerzas Armadas (SSFFAA)
145;Hospital San Martín de Quillota;Municipalidad de Pozo Almonte;Superintendencia de Casinos de Juego (SCJ)
146;Hospital San Pablo de Coquimbo;Municipalidad de Primavera;Superintendencia de Educación
147;Hospital Sótero del Río;Municipalidad de Pucón;Superintendencia de Educación Superior
148;Hospital Urgencia Asistencia Pública (HUAP);Municipalidad de Puerto Montt;Superintendencia de Electricidad y Combustibles (SEC)
149;Hospital Víctor Ríos Ruiz de Los Angeles;Municipalidad de Puerto Natales;Superintendencia de Insolvencia y Reemprendimiento
150;Hospital de Curicó;Municipalidad de Puerto Octay;Superintendencia de Pensiones (SP)
151;Hospital de Linares;Municipalidad de Punitaqui;Superintendencia de Seguridad Social (SUSESO)
152;Hospital de Lota;Municipalidad de Purranque;Superintendencia de Servicios Sanitarios (SISS)
153;Hospital de Melipilla;Municipalidad de Putaendo;Superintendencia del Medio Ambiente (SMA)
154;Hospital de Osorno;Municipalidad de Puyehue;Tesorería General de la República (TGR)
155;Hospital de Ovalle;Municipalidad de Queilén;Unidad de Análisis Financiero
156;Hospital de Puerto Montt;Municipalidad de Quellón;Universidad de Aysén
